2025-03-12 14:34:28.583 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server jetty-10.0.22; built: 2024-06-27T16:03:51.502Z; git: 5c8471e852d377fd726ad9b1692c35ffc5febb09; jvm 17.0.14+7
2025-03-12 14:34:28.834 WARN  (main) [c: s: r: x: t:] o.e.j.u.DeprecationWarning Using @Deprecated Class org.eclipse.jetty.servlet.listener.ELContextCleaner
2025-03-12 14:34:28.870 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Using logger factory org.apache.logging.slf4j.Log4jLoggerFactory
2025-03-12 14:34:28.877 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider  ___      _       Welcome to Apache Solr™ version 9.8.0
2025-03-12 14:34:28.877 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider / __| ___| |_ _   Starting in standalone mode on port 8983
2025-03-12 14:34:28.878 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider \__ \/ _ \ | '_|  Install dir: /opt/solr-9.8.0
2025-03-12 14:34:28.878 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider |___/\___/_|_|    Start time: 2025-03-12T14:34:28.878100536Z
2025-03-12 14:34:28.880 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr started with "-XX:+CrashOnOutOfMemoryError" that will crash on any OutOfMemoryError exception. The cause of the OOME will be logged in the crash file at the following path: /var/solr/logs/jvm_crash_11.log
2025-03-12 14:34:28.902 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr Home: /var/solr/data (source: system property: solr.solr.home)
2025-03-12 14:34:28.917 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig solr.xml not found in SOLR_HOME, using built-in default
2025-03-12 14:34:28.917 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig Loading solr.xml from /opt/solr-9.8.0/server/solr/solr.xml
2025-03-12 14:34:28.950 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrResourceLoader Added 1 libs to classloader, from paths: [/opt/solr-9.8.0/lib]
2025-03-12 14:34:29.580 INFO  (main) [c: s: r: x: t:] o.a.s.u.t.SimplePropagator Always-on trace id generation enabled.
2025-03-12 14:34:29.834 WARN  (main) [c: s: r: x: t:] o.a.s.u.StartupLoggingUtils Jetty request logging enabled. Will retain logs for last 3 days. See chapter "Configuring Logging" in reference guide for how to configure.
2025-03-12 14:34:29.838 WARN  (main) [c: s: r: x: t:] o.a.s.c.CoreContainer Not all security plugins configured!  authentication=disabled authorization=disabled.  Solr is only as secure as you make it. Consider configuring authentication/authorization before exposing Solr to users internal or external.  See https://s.apache.org/solrsecurity for more info
2025-03-12 14:34:30.019 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Found 1 core definitions underneath /var/solr/data
2025-03-12 14:34:30.019 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Cores are: [blacklight_marc]
2025-03-12 14:34:30.092 INFO  (coreLoadExecutor-14-thread-1) [c: s: r: x:blacklight_marc t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.11.0
2025-03-12 14:34:30.160 INFO  (coreLoadExecutor-14-thread-1) [c: s: r: x:blacklight_marc t:] o.a.s.s.IndexSchema Schema name=default-config
2025-03-12 14:34:30.203 WARN  (main) [c: s: r: x: t:] o.g.j.m.i.MessagingBinders A class jakarta.activation.DataSource for a default provider MessageBodyWriter<jakarta.activation.DataSource> was not found. The provider is not available.
2025-03-12 14:34:30.440 INFO  (main) [c: s: r: x: t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-03-12 14:34:30.557 INFO  (main) [c: s: r: x: t:] o.e.j.s.h.ContextHandler Started o.e.j.w.WebAppContext@70925b45{solr-jetty-context.xml,/solr,file:///opt/solr-9.8.0/server/solr-webapp/webapp/,AVAILABLE}{/opt/solr-9.8.0/server/solr-webapp/webapp}
2025-03-12 14:34:30.571 INFO  (main) [c: s: r: x: t:] o.e.j.s.RequestLogWriter Opened /var/solr/logs/2025_03_12.request.log
2025-03-12 14:34:30.576 INFO  (main) [c: s: r: x: t:] o.e.j.s.AbstractConnector Started ServerConnector@7a791b66{HTTP/1.1, (http/1.1, h2c)}{0.0.0.0:8983}
2025-03-12 14:34:30.577 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server Started Server@6b54655f{STARTING}[10.0.22,sto=0] @3610ms
2025-03-12 14:34:30.891 INFO  (coreLoadExecutor-14-thread-1) [c: s: r: x:blacklight_marc t:] o.a.s.s.IndexSchema Loaded schema default-config/1.7 with uniqueid field id
2025-03-12 14:34:30.891 INFO  (coreLoadExecutor-14-thread-1) [c: s: r: x:blacklight_marc t:] o.a.s.c.CoreContainer Creating SolrCore 'blacklight_marc' using configuration from instancedir /var/solr/data/blacklight_marc, trusted=true
2025-03-12 14:34:30.936 INFO  (coreLoadExecutor-14-thread-1) [c: s: r: x:blacklight_marc t:] o.a.s.c.SolrCore Opening new SolrCore at [/var/solr/data/blacklight_marc], dataDir=[/var/solr/data/blacklight_marc/data/]
2025-03-12 14:34:31.371 INFO  (coreLoadExecutor-14-thread-1) [c: s: r: x:blacklight_marc t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
2025-03-12 14:34:31.388 INFO  (coreLoadExecutor-14-thread-1) [c: s: r: x:blacklight_marc t:] o.a.s.u.UpdateHandler Using UpdateLog implementation: org.apache.solr.update.UpdateLog
2025-03-12 14:34:31.393 INFO  (coreLoadExecutor-14-thread-1) [c: s: r: x:blacklight_marc t:] o.a.s.u.UpdateLog Initializing UpdateLog: dataDir= defaultSyncLevel=FLUSH numRecordsToKeep=100 maxNumLogsToKeep=10
2025-03-12 14:34:31.394 INFO  (coreLoadExecutor-14-thread-1) [c: s: r: x:blacklight_marc t:] o.a.s.u.CommitTracker Hard AutoCommit: if uncommitted for 15000ms; 
2025-03-12 14:34:31.394 INFO  (coreLoadExecutor-14-thread-1) [c: s: r: x:blacklight_marc t:] o.a.s.u.CommitTracker Soft AutoCommit: if uncommitted for 3000ms; 
2025-03-12 14:34:32.387 INFO  (coreLoadExecutor-14-thread-1) [c: s: r: x:blacklight_marc t:] o.a.s.r.ManagedResourceStorage File-based storage initialized to use dir: /var/solr/data/blacklight_marc/conf
2025-03-12 14:34:32.399 INFO  (coreLoadExecutor-14-thread-1) [c: s: r: x:blacklight_marc t:] o.a.s.s.DirectSolrSpellChecker init: {accuracy=0.5, maxQueryFrequency=0.01, name=default, field=_text_, classname=solr.DirectSolrSpellChecker, distanceMeasure=internal, maxEdits=2, minPrefix=1, maxInspections=5, minQueryLength=4}
2025-03-12 14:34:32.407 INFO  (coreLoadExecutor-14-thread-1) [c: s: r: x:blacklight_marc t:] o.a.s.h.ReplicationHandler Commits will be reserved for 10000 ms
2025-03-12 14:34:32.409 INFO  (searcherExecutor-16-thread-1-processing-blacklight_marc) [c: s: r: x:blacklight_marc t:] o.a.s.c.QuerySenderListener QuerySenderListener done.
2025-03-12 14:34:32.410 INFO  (searcherExecutor-16-thread-1-processing-blacklight_marc) [c: s: r: x:blacklight_marc t:] o.a.s.h.c.SpellCheckComponent Loading spell index for spellchecker: default
2025-03-12 14:34:32.414 INFO  (searcherExecutor-16-thread-1-processing-blacklight_marc) [c: s: r: x:blacklight_marc t:] o.a.s.c.SolrCore Registered new searcher autowarm time: 0 ms
